着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),日付,東西
14,3,4,グリサージュ,牝3,54,江田照男,2:05.2,5,**,1-1-2-3,37.3,23.7,8,482(+6),,,,菊川正達,吉田哲哉,,201406040512,東
1,6,12,ゴーイングパワー,牡5,57,大野拓弥,1:09.6,,**,3-3,36.0,5.4,4,500(-4),,,,岩元市三,林進,"1,827.8",201406040610,西
2,8,15,マキャヴィティ,牡3,56,後藤浩輝,1:09.9,2,**,9-9,35.6,4.1,1,508(+12),,,,萩原清,金子真人ホールディングス,730.8,201406040610,東
3,4,8,エリアコンプリート,牡5,57,吉田豊,1:10.0,3/4,**,11-11,35.6,24.1,7,460(-4),,,,大根田裕,前田幸治,455.4,201406040610,西
4,6,11,インディーズゲーム,牡6,57,田中勝春,1:10.0,クビ,**,6-6,36.1,13.0,6,478(+6),,,,宗像義忠,薗部博之,270.0,201406040610,東
5,1,1,タマブラックホール,牡5,57,石橋脩,1:10.1,クビ,**,11-11,35.6,4.3,2,520(+4),,,,相沢郁,玉井鶴枝,179.0,201406040610,東
6,7,13,フォルテリコルド,牡5,57,武士沢友,1:10.3,1,**,7-7,36.3,107.8,15,554(+18),,,,古賀史生,サンデーレーシング,,201406040610,東
7,3,6,サウスビクトル,牡5,57,木幡初広,1:10.4,1/2,**,4-4,36.7,29.6,8,470(0),,,,久保田貴,南波壽,,201406040610,東
8,1,2,リックムファサ,牡6,57,伴啓太,1:10.6,1.1/4,**,13-13,35.9,99.1,14,476(+4),,,,清水英克,山邉浩,,201406040610,東
9,5,10,ローレンルーナ,牡5,57,江田照男,1:10.8,1.1/4,**,7-7,36.8,32.5,9,488(0),,,,田村康仁,林正道,,201406040610,東
10,3,5,クロタカ,牝5,55,嶋田純次,1:10.8,クビ,**,14-14,35.9,37.8,11,496(-4),,,,手塚貴久,槇本牧場,,201406040610,東
11,7,14,トップフライアー,牡5,57,丹内祐次,1:10.8,アタマ,**,4-4,37.1,77.2,12,504(+8),,,,杉浦宏昭,井上一郎,,201406040610,東
12,8,16,ピオニエトウショウ,牝5,55,丸田恭介,1:10.9,クビ,**,16-15,35.8,77.4,13,448(+14),,,,土田稔,トウショウ産業,,201406040610,東
13,5,9,フルヒロボーイ,牡5,57,嘉藤貴行,1:10.9,ハナ,**,2-2,37.4,10.6,5,534(+16),,,,田中清隆,古岡宏仁,,201406040610,東
14,2,4,ラピダメンテ,セ3,56,三浦皇成,1:10.9,クビ,**,1-1,37.4,4.6,3,478(-2),,,,池上昌弘,社台レースホース,,201406040610,東
15,4,7,エステーラブ,牝7,55,木幡初也,1:11.0,1/2,**,15-15,36.0,227.4,16,472(+8),,,,萱野浩二,齋藤宏明,,201406040610,東
16,2,3,セイラ,牝5,55,内田博幸,1:11.1,クビ,**,9-9,36.9,37.0,10,484(+24),,,,飯田雄三,萩英男,,201406040610,西
1,8,12,レッドレイヴン,牡4,56,柴田善臣,1:48.2,,**,9-9-8-8,34.3,2.2,1,518(+2),,,,藤沢和雄,東京ホースレーシング,"2,232.9",201406040611,東
2,6,9,スピリタス,セ9,56,丸田恭介,1:48.5,2,**,11-12-12-12,34.2,57.1,12,446(0),,,,岡田稲男,キャロットファーム,889.4,201406040611,西
3,8,13,マックスドリーム,セ7,56,ブノワ,1:48.7,1.1/4,**,12-10-11-10,34.6,5.5,2,538(-12),,,,宮徹,山田弘,554.7,201406040611,西
4,4,5,ヒラボクディープ,牡4,56,大野拓弥,1:48.7,アタマ,**,10-10-8-10,34.8,34.7,9,502(+6),,,,国枝栄,平田牧場,330.0,201406040611,東
5,5,7,ウインマーレライ,牡3,55,松岡正海,1:48.8,1/2,**,4-4-4-3,35.4,9.4,5,510(+2),,,,高木登,ウイン,220.0,201406040611,東
6,1,1,ムーンリットレイク,牡6,57,丸山元気,1:48.8,クビ,**,2-2-2-2,35.6,8.3,4,468(+6),,,,加藤征弘,サンデーレーシング,,201406040611,東
7,7,10,フレージャパン,牡5,56,三浦皇成,1:49.0,1.1/4,**,13-13-13-12,34.4,35.9,10,476(+2),,,,森秀行,難波澄子,,201406040611,西
8,4,4,ヒュウマ,牡4,56,内田博幸,1:49.0,ハナ,**,4-4-6-5,35.4,7.3,3,498(-6),,,,矢作芳人,林正道,,201406040611,西
9,6,8,マイネグレヴィル,牝3,53,石橋脩,1:49.1,クビ,**,3-3-2-3,35.8,21.5,8,474(+4),,,,和田正道,サラブレッドクラブ・ラフィアン,,201406040611,東
10,5,6,ルナ,牡5,56,後藤浩輝,1:49.3,1.1/4,**,1-1-1-1,36.4,19.7,7,488(+16),,,,杉浦宏昭,山岸桂市,,201406040611,東
11,2,2,コスモオオゾラ,牡5,56,丹内祐次,1:49.4,3/4,**,8-8-8-8,35.6,109.6,13,510(+26),,,,高橋義博,ビッグレッドファーム,,201406040611,東
12,3,3,フィロパトール,牝5,54,津村明秀,1:49.5,1/2,**,4-4-4-5,36.0,18.4,6,478(+6),,,,武藤善則,高橋一恵,,201406040611,東
13,7,11,フェスティヴタロー,牡5,56,田中勝春,1:49.5,アタマ,**,7-7-6-5,35.9,36.2,11,506(+10),,,,天間昭一,臼井義太郎,,201406040611,東
1,2,3,サンマルホウセキ,牝3,54,田中勝春,1:36.0,,**,4-3-3,35.0,4.9,3,438(-2),,,,小島太,相馬勇,"1,020.0",201406040612,東
2,4,7,コスモミレネール,牝5,55,丹内祐次,1:36.0,クビ,**,1-1-1,35.6,13.4,6,458(-6),,,,高橋義博,ビッグレッドファーム,410.0,201406040612,東
3,6,11,ボブキャット,牡4,57,内田博幸,1:36.1,1/2,**,2-2-2,35.5,20.1,8,524(+4),,,,久保田貴,村木隆,260.0,201406040612,東
4,3,5,レッドマニッシュ,牝4,55,ブノワ,1:36.2,クビ,**,8-7-7,34.6,6.9,5,500(+2),,,,国枝栄,東京ホースレーシング,150.0,201406040612,東
5,4,6,チョコレートバイン,牝3,54,大野拓弥,1:36.2,アタマ,**,5-5-3,34.8,4.8,2,436(-4),,,,加藤征弘,社台レースホース,102.0,201406040612,東
6,2,2,カケダシ,牡4,57,木幡初広,1:36.2,ハナ,**,8-7-7,34.7,209.7,15,514(+16),,,,杉浦宏昭,山岸桂市,,201406040612,東
7,3,4,クリノハッチャン,牝3,51,伴啓太,1:36.2,ハナ,**,11-10-12,34.3,163.3,14,464(+4),,,,高市圭二,栗本博晴,,201406040612,東
8,7,12,ニシノミチシルベ,牝3,54,松岡正海,1:36.4,1.1/4,**,5-7-7,34.8,6.5,4,464(-4),,,,手塚貴久,西山茂行,,201406040612,東
9,8,14,ディープサウンド,牡6,57,柴田善臣,1:36.5,3/4,**,8-10-11,34.6,37.8,10,482(+16),,,,水野貴広,増田雄一,,201406040612,東
10,1,1,シルバーレイショウ,牡5,57,三浦皇成,1:36.5,アタマ,**,15-14-12,34.3,32.5,9,520(+10),,,,萩原清,池谷誠一,,201406040612,東
11,7,13,モシモシ,牝4,52,木幡初也,1:36.6,クビ,**,13-14-12,34.4,42.3,11,416(0),,,,高橋祥泰,小田切有一,,201406040612,東
12,8,15,ダークマレイン,牝5,55,丸田恭介,1:36.6,クビ,**,11-12-12,34.5,14.7,7,462(+8),,,,大竹正博,門野重雄,,201406040612,東
13,5,9,ナモンレジェンド,牡3,53,井上敏樹,1:36.7,クビ,**,13-12-10,34.7,59.2,12,518(+10),,,,本間忍,南原商事,,201406040612,東
14,6,10,ゼログラヴィティー,牡5,54,原田和真,1:36.9,1.1/4,**,5-5-5,35.5,146.9,13,470(-4),,,,栗田徹,吉田勝己,,201406040612,東
15,5,8,アメリカンダイナー,セ5,54,石川裕紀,1:37.1,1.1/2,**,2-4-5,36.0,4.1,1,480(-2),,,,相沢郁,吉澤克己,,201406040612,東
1,7,11,マイネルディーン,牡5,57,三浦皇成,2:13.5,,**,8-8-8-7,35.5,20.3,7,464(+6),,,,鹿戸雄一,サラブレッドクラブ・ラフィアン,"1,821.5",201406040710,東
2,4,5,トーセンマタコイヤ,牡3,55,北村宏司,2:13.6,3/4,**,5-5-7-7,35.7,2.0,1,462(0),,,,加藤征弘,島川隆哉,729.0,201406040710,東
3,5,7,ダイワリベラル,牡3,55,柴田善臣,2:13.8,1.1/4,**,2-2-2-2,36.3,19.5,6,524(+4),,,,菊沢隆徳,大城敬三,454.5,201406040710,東
4,4,4,リヤンドファミユ,牡4,57,池添謙一,2:13.8,ハナ,**,8-8-10-7,35.7,7.0,3,456(+4),,,,池江泰寿,サンデーレーシング,270.0,201406040710,西
5,1,1,メイクアップ,牡3,55,大野拓弥,2:14.0,1.1/4,**,5-5-4-3,36.3,16.1,5,468(0),,,,谷潔,岡浩二,179.0,201406040710,西
6,7,10,ロジサンデー,牡5,57,松岡正海,2:14.2,1.1/2,**,11-11-11-11,35.8,178.1,11,472(+6),,,,古賀慎明,久米田正明,,201406040710,東
7,8,13,シャドウダンサー,牡3,55,田中勝春,2:14.3,1/2,**,5-5-4-6,36.5,3.4,2,500(+6),,,,角居勝彦,飯塚知一,,201406040710,西
8,5,6,マイネルマーク,牡6,57,柴田大知,2:14.4,1/2,**,3-4-2-3,36.8,44.9,10,490(-2),,,,国枝栄,サラブレッドクラブ・ラフィアン,,201406040710,東
9,3,3,ルファルシオン,牡3,55,横山典弘,2:14.8,2.1/2,**,3-2-4-3,37.1,12.9,4,512(+8),,,,松田国英,グリーンファーム,,201406040710,西
10,2,2,スーサングレート,牡6,57,松田大作,2:14.8,クビ,**,1-1-1-1,37.4,41.0,9,510(+8),,,,鈴木孝志,林進,,201406040710,西
11,6,9,ロンギングダンサー,牡5,57,後藤浩輝,2:15.0,1,**,13-13-11-7,36.6,31.5,8,490(+8),,,,勢司和浩,坂本浩一,,201406040710,東
12,6,8,レオプログレス,牡9,57,江田照男,2:15.1,3/4,**,12-12-13-13,36.2,211.5,12,470(+4),,,,萱野浩二,レオ,,201406040710,東
13,8,12,エーシンスピーダー,牡5,57,石橋脩,2:15.8,4,**,8-8-8-12,37.8,242.8,13,480(0),,,,西園正都,栄進堂,,201406040710,西
1,8,12,マスクトヒーロー,牡6,56,横山典弘,1:52.8,,**,3-3-3-3,37.7,2.4,1,500(-6),,,,新開幸一,社台レースホース,"2,030.8",201406040711,東
2,1,1,ノースショアビーチ,牡3,53,村田一誠,1:53.0,1.1/2,**,1-1-1-1,39.0,6.4,3,488(+2),,,,田中剛,Ｇ１レーシング,808.8,201406040711,東
3,6,9,フィールザスマート,牡3,54,田中勝春,1:53.4,2.1/2,**,5-4-7-4,38.0,4.0,2,502(0),,,,新開幸一,櫻井正,504.4,201406040711,東
4,3,3,グランドシチー,牡7,58,津村明秀,1:53.7,1.3/4,**,8-8-8-6,38.1,8.3,4,498(-3),,,,相沢郁,友駿ホースクラブ,300.0,201406040711,東
5,2,2,ヒラボクマジック,牡6,54,三浦皇成,1:54.2,3,**,4-4-6-4,38.9,8.4,5,510(+2),,,,大竹正博,平田牧場,200.0,201406040711,東
6,4,4,ツクバコガネオー,セ6,54,勝浦正樹,1:54.2,クビ,**,8-8-11-10,38.5,23.4,6,542(+4),,,,尾形充弘,荻原昭二,,201406040711,東
7,4,5,トップカミング,セ8,52,武士沢友,1:54.3,クビ,**,11-12-13-10,38.4,161.7,13,464(+12),,,,萱野浩二,コオロ,,201406040711,東
8,7,11,サンマルデューク,牡5,53,岡田祥嗣,1:54.4,3/4,**,5-4-8-10,38.9,48.9,11,506(+6),,,,小島太,相馬勇,,201406040711,東
9,5,7,ロングロウ,牡7,54,吉田隼人,1:54.6,1.1/4,**,2-2-2-2,40.3,43.7,10,542(+8),,,,松田国英,吉田和子,,201406040711,西
10,5,6,インパルスヒーロー,牡4,56,後藤浩輝,1:54.7,3/4,**,12-12-8-8,39.1,31.2,8,512(+16),,,,国枝栄,佐々木政充,,201406040711,東
11,8,13,カシュカシュ,牝5,51,藤懸貴志,1:54.8,クビ,**,7-4-3-8,39.6,31.9,9,440(-4),,,,平田修,松岡隆雄,,201406040711,西
12,6,8,グランプリブラッド,牡5,54,松田大作,1:54.8,クビ,**,8-8-11-13,39.1,30.9,7,438(+2),,,,矢作芳人,北側雅司,,201406040711,西
13,7,10,リアライズキボンヌ,牝5,52,北村宏司,1:55.4,3.1/2,**,12-11-3-6,40.2,80.6,12,460(-4),,,,森秀行,工藤圭司,,201406040711,西
1,3,5,ルミナスウォリアー,牡3,56,柴山雄一,2:01.3,,**,5-4-4-3,35.7,2.9,1,472(+6),,,,和田正一,サンデーレーシング,750.0,201406040712,東
2,7,13,ドラゴンレジェンド,牡4,57,伊藤工真,2:01.5,1.1/4,**,8-8-10-9,35.5,10.5,4,492(+12),,,,久保田貴,窪田芳郎,300.0,201406040712,東
3,6,12,マイネルイルミナル,牡4,57,柴田大知,2:01.7,1.1/4,**,7-7-7-5,36.0,5.0,2,466(0),,,,高木登,サラブレッドクラブ・ラフィアン,190.0,201406040712,東
4,4,7,ウマンマミーア,牡3,56,江田照男,2:01.9,1.1/2,**,15-17-17-11,35.3,25.4,9,442(0),,,,菅原泰夫,野崎宗信,110.0,201406040712,東
5,8,17,セイクリッドロード,セ5,57,松岡正海,2:02.0,1/2,**,8-8-8-8,36.2,25.7,10,508(0),,,,高橋裕,岡田牧雄,75.0,201406040712,東
6,5,9,ミラクルラヴィ,牝4,55,田中勝春,2:02.2,1,**,2-2-2-1,36.9,116.2,17,480(-2),,,,堀井雅広,藤田在子,,201406040712,東
7,1,2,ホワイトマニキュア,牝3,51,木幡初也,2:02.4,1.1/4,**,15-15-12-13,36.2,22.0,7,458(+6),,,,鹿戸雄一,吉田照哉,,201406040712,東
8,5,10,ファイアマーシャル,牝4,55,後藤浩輝,2:02.6,1.1/4,**,12-14-16-16,36.1,13.0,6,456(+2),,,,国枝栄,社台レースホース,,201406040712,東
9,2,3,マイネルクレイズ,牡4,57,石橋脩,2:02.6,クビ,**,3-4-4-4,37.0,12.1,5,494(+4),,,,和田正一,サラブレッドクラブ・ラフィアン,,201406040712,東
10,7,14,アンヴェイルド,牡3,56,三浦皇成,2:02.7,クビ,**,15-15-15-13,36.3,28.2,11,492(-4),,,,戸田博文,窪田康志,,201406040712,東
11,1,1,ヴィンセンツイヤー,牡3,56,大野拓弥,2:02.8,1/2,**,15-17-17-16,36.2,71.5,14,488(+8),,,,松山将樹,ノルマンディーサラブレッドレーシング,,201406040712,東
12,8,16,シャドウカラーズ,牝3,54,勝浦正樹,2:02.9,1/2,**,5-4-4-5,37.4,22.4,8,470(+10),,,,田中剛,飯塚知一,,201406040712,東
13,4,8,キングラナキラ,牡3,53,長岡禎仁,2:02.9,ハナ,**,8-8-8-9,37.0,65.1,13,500(-10),,,,大竹正博,桑畑隆信,,201406040712,東
14,3,6,インステイト,牡5,57,杉原誠人,2:02.9,クビ,**,1-1-1-2,37.6,50.9,12,538(+14),,,,中川公成,サンデーレーシング,,201406040712,東
15,8,18,テンミライ,牡4,57,津村明秀,2:03.9,6,**,12-12-12-11,37.8,116.8,18,474(-2),,,,牧光二,天白泰司,,201406040712,東
16,2,4,レッドオラシオン,牡3,56,村田一誠,2:04.2,1.3/4,**,12-12-12-13,38.0,108.1,16,468(+6),,,,大久保洋,東京ホースレーシング,,201406040712,東
17,6,11,マイネルバランシン,牡4,57,丹内祐次,2:08.7,大,**,8-8-10-18,42.7,98.3,15,514(+16),,,,清水英克,サラブレッドクラブ・ラフィアン,,201406040712,東
18,7,15,ダイワブレス,牝3,54,北村宏司,2:10.0,8,**,3-3-3-5,44.6,5.8,3,508(+12),,,,上原博之,大城敬三,,201406040712,東
1,2,4,ジェンティルドンナ,牝5,55,戸崎圭太,2:35.3,,**,3-3-3-2,34.1,8.7,4,470(-2),,,,石坂正,サンデーレーシング,"20,336.0",201406040810,西
2,3,6,トゥザワールド,牡3,55,ビュイッ,2:35.4,3/4,**,7-7-6-7,33.8,31.2,9,524(+4),,,,池江泰寿,キャロットファーム,"8,096.0",201406040810,西
3,7,14,ゴールドシップ,牡5,57,岩田康誠,2:35.4,ハナ,**,11-10-6-5,33.9,3.5,1,510(0),,,,須貝尚介,合同会社小林英一ホールディングス,"5,048.0",201406040810,西
4,8,15,ジャスタウェイ,牡5,57,福永祐一,2:35.5,クビ,**,13-13-13-12,33.4,4.6,3,504(+6),,,,須貝尚介,大和屋暁,"3,000.0",201406040810,西
5,7,13,エピファネイア,牡4,57,川田将雅,2:35.5,ハナ,**,2-2-2-1,34.6,4.0,2,494(+2),,,,角居勝彦,キャロットファーム,"2,000.0",201406040810,西
6,3,5,ラキシス,牝4,55,Ｃ．デム,2:35.5,アタマ,**,5-5-5-2,34.1,36.3,11,458(0),,,,角居勝彦,大島昌也,,201406040810,西
7,4,7,ラストインパクト,牡4,57,菱田裕二,2:35.5,クビ,**,8-9-10-10,33.7,17.6,7,484(-2),,,,松田博資,シルクレーシング,,201406040810,西
8,1,1,トーセンラー,牡6,57,武豊,2:35.7,1,**,3-3-3-5,34.4,22.8,8,462(-4),,,,藤原英昭,島川隆哉,,201406040810,西
9,6,12,デニムアンドルビー,牝4,55,浜中俊,2:35.7,クビ,**,11-11-10-12,33.9,118.6,16,448(+6),,,,角居勝彦,金子真人ホールディングス,,201406040810,西
10,5,10,フェノーメノ,牡5,57,田辺裕信,2:35.7,アタマ,**,8-7-6-7,34.2,15.3,6,502(+8),,,,戸田博文,サンデーレーシング,,201406040810,東
11,6,11,サトノノブレス,牡4,57,池添謙一,2:35.9,1.1/2,**,13-13-14-15,33.6,81.0,13,512(+4),,,,池江泰寿,里見治,,201406040810,西
12,5,9,ウインバリアシオン,牡6,57,藤岡康太,2:35.9,ハナ,**,10-11-10-7,34.1,34.9,10,530(-4),,,,松永昌博,ウイン,,201406040810,西
13,2,3,ワンアンドオンリー,牡3,55,横山典弘,2:36.0,1/2,**,5-5-6-10,34.4,11.8,5,492(+4),,,,橋口弘次,前田幸治,,201406040810,西
14,1,2,ヴィルシーナ,牝5,55,内田博幸,2:36.1,クビ,**,1-1-1-2,35.4,77.7,12,458(+4),,,,友道康夫,佐々木主浩,,201406040810,西
15,4,8,メイショウマンボ,牝4,55,武幸四郎,2:36.4,2,**,16-16-16-16,33.9,86.3,14,486(-4),,,,飯田祐史,松本好雄,,201406040810,西
16,8,16,オーシャンブルー,牡6,57,蛯名正義,2:36.4,ハナ,**,15-15-14-14,34.2,87.1,15,432(-4),,,,池江泰寿,青芝商事,,201406040810,西
1,6,8,キタサンラブコール,牡3,56,横山典弘,1:08.8,,**,7-6,34.1,4.1,2,468(+2),,,,昆貢,大野商事,"1,511.5",201406040811,西
2,4,4,シンデレラボーイ,牡4,57,福永祐一,1:08.9,1/2,**,4-3,34.5,2.9,1,484(-12),,,,矢作芳人,田畑利彦,599.0,201406040811,西
3,7,10,カカリア,牝3,54,川田将雅,1:09.1,1.1/2,**,4-6,34.6,15.6,6,476(-2),,,,武井亮,加藤春夫,374.5,201406040811,東
4,2,2,フルールシチー,牝3,54,戸崎圭太,1:09.1,クビ,**,13-12,33.3,4.6,3,506(0),,,,西園正都,友駿ホースクラブ,220.0,201406040811,西
5,1,1,モンマックス,牡4,57,後藤浩輝,1:09.2,クビ,**,7-6,34.5,7.8,4,534(+14),,,,和田正道,和田牧場,148.0,201406040811,東
6,8,13,ヤサカオディール,牝5,55,的場勇人,1:09.2,クビ,**,3-3,35.0,26.7,8,446(+6),,,,水野貴広,志邑宣彦,,201406040811,東
7,7,11,ウインネオルーラー,牡3,56,松岡正海,1:09.3,1/2,**,2-2,35.3,37.0,9,494(0),,,,畠山重則,ウイン,,201406040811,東
8,5,7,フリーアズアバード,セ6,57,吉田隼人,1:09.3,ハナ,**,4-3,34.9,69.7,10,470(0),,,,金成貴史,ヒダカ・ブリーダーズ・ユニオン,,201406040811,東
9,5,6,エクセレントピーク,牝6,55,田中勝春,1:09.4,クビ,**,9-9,34.6,101.1,11,480(+4),,,,伊藤大士,飯田正剛,,201406040811,東
10,6,9,クリノタカラチャン,牝4,55,柴田大知,1:09.6,1.1/2,**,1-1,35.8,20.9,7,422(-2),,,,天間昭一,栗本博晴,,201406040811,東
11,3,3,ルミニズム,牡3,56,北村宏司,1:09.8,1.1/4,**,10-10,34.8,9.0,5,508(+12),,,,大竹正博,社台レースホース,,201406040811,東
12,8,12,ペガサスジュニア,牡3,56,吉田豊,1:09.8,クビ,**,11-10,34.4,113.1,12,518(+10),,,,大久保洋,鶴見芳子,,201406040811,東
13,4,5,ファンアットコート,牝4,55,小野寺祐,1:10.0,3/4,**,11-12,34.7,214.7,13,476(+2),,,,畠山重則,ミルファーム,,201406040811,東
1,1,1,ニシノラッシュ,牡3,56,田辺裕信,1:22.7,,**,7-8,34.7,2.2,1,476(+6),,,,田村康仁,西山茂行,"1,931.5",201505010110,東
2,5,7,ブリクスト,牡3,56,北村友一,1:22.8,1/2,**,9-9,34.7,5.4,2,480(+2),,,,吉田直弘,サンデーレーシング,769.0,201505010110,西
3,5,8,アポロノシンザン,牡3,56,蛯名正義,1:22.8,クビ,**,5-5,35.0,7.2,3,462(+6),,,,堀井雅広,アポロサラブレッドクラブ,484.5,201505010110,東
4,2,2,スズカブレーン,牡3,56,村田一誠,1:23.0,1.1/4,**,5-5,35.2,29.5,9,472(0),,,,柄崎孝,永井啓弍,290.0,201505010110,東
5,6,9,ジャストドゥイング,牡3,57,北村宏司,1:23.4,2.1/2,**,7-5,35.5,7.6,4,544(0),,,,中竹和也,前田晋二,190.0,201505010110,西
6,3,3,コスモヨハネ,牡3,56,柴田大知,1:23.6,1.1/2,**,12-12,34.9,11.4,5,490(0),,,,高橋裕,ビッグレッドファーム,,201505010110,東
7,7,11,パーティメーカー,牡3,56,御神本訓,1:23.9,1.3/4,**,11-11,35.6,137.4,12,468(-9),,,,小久保智,山口裕介,,201505010110,地
8,6,10,アルノルフィーニ,牡3,56,西田雄一,1:24.1,1.1/4,**,9-9,35.9,138.5,13,446(+12),,,,高市圭二,ミルファーム,,201505010110,東
9,4,6,タガノアザガル,牡3,56,内田博幸,1:24.3,1.1/4,**,2-2,36.7,14.1,6,444(+4),,,,千田輝彦,八木良司,,201505010110,西
10,3,4,フジマサジャンボ,牡3,56,江田照男,1:24.4,1/2,**,1-1,36.9,112.1,11,456(+8),,,,菊川正達,藤原正一,,201505010110,東
11,8,13,ペイシャオブロー,牡3,57,柴山雄一,1:24.6,1.1/2,**,12-12,36.0,28.0,8,490(-4),,,,菅原泰夫,北所直人,,201505010110,東
12,8,14,エムザックサンダー,牡3,56,吉原寛人,1:24.9,1.3/4,**,4-4,37.2,243.7,14,438(+2),,,,立花伸,寺西正彰,,201505010110,地
13,4,5,クリノダイスーシー,牡3,56,ベリー,1:26.1,7,**,2-2,38.5,34.4,10,500(+12),,,,高橋義忠,栗本博晴,,201505010110,西
中,7,12,ゴールドペガサス,牡3,56,武豊,,,**,,,15.1,7,454(-2),,,,佐藤吉勝,スピードファーム,,201505010110,東
1,6,9,アズマシャトル,牡4,55,ベリー,2:00.8,,**,12-12-10,34.7,4.5,2,504(-2),,,,加用正,東哲次,"2,331.5",201505010111,西
2,7,12,エックスマーク,牡6,56,北村宏司,2:01.0,1.1/2,**,10-9-7,35.1,5.2,3,494(+8),,,,角居勝彦,金子真人ホールディングス,929.0,201505010111,西
3,3,4,スーパームーン,牡6,56,内田博幸,2:01.2,1,**,6-6-6,35.6,2.7,1,514(+4),,,,藤沢和雄,山本英俊,584.5,201505010111,東
4,4,6,ゼロス,牡6,56,武豊,2:01.3,3/4,**,1-1-1,36.8,16.0,5,500(+2),,,,石橋守,杉澤光雄,350.0,201505010111,西
5,4,5,マイネグレヴィル,牝4,53,柴田大知,2:01.5,1.1/4,**,2-2-2,36.9,23.1,8,476(+2),,,,和田正道,サラブレッドクラブ・ラフィアン,230.0,201505010111,東
6,8,14,ペルーサ,牡8,58,柴山雄一,2:01.5,クビ,**,14-14-14,34.9,19.4,7,522(-8),,,,藤沢和雄,山本英俊,,201505010111,東
7,1,1,シゲルササグリ,牡6,56,吉田豊,2:01.6,1/2,**,3-3-3,36.8,24.4,9,510(-4),,,,中村均,森中蕃,,201505010111,西
8,5,8,クランモンタナ,牡6,57,横山典弘,2:01.7,1/2,**,9-9-10,35.6,7.3,4,484(-2),,,,音無秀孝,社台レースホース,,201505010111,西
9,7,11,アロマカフェ,牡8,56,田中勝春,2:01.8,クビ,**,7-7-7,36.0,18.3,6,492(+10),,,,小島太,西川光一,,201505010111,東
10,8,13,コアレスドラード,牡7,56,吉原寛人,2:01.9,1/2,**,13-13-12,35.5,101.4,13,458(-4),,,,五十嵐忠,小林昌志,,201505010111,西
11,5,7,エバーブロッサム,牝5,54,石橋脩,2:01.9,クビ,**,4-3-3,37.2,56.0,12,478(+10),,,,堀宣行,宇田豊,,201505010111,東
12,6,10,コスモオオゾラ,牡6,56,丹内祐次,2:02.2,1.3/4,**,5-5-5,36.8,43.6,11,508(-2),,,,高橋義博,ビッグレッドファーム,,201505010111,東
13,2,2,トップカミング,セ9,56,武士沢友,2:02.3,1/2,**,11-9-12,36.0,240.1,14,470(+6),,,,萱野浩二,コオロ,,201505010111,東
14,3,3,タニノエポレット,牡8,57,三浦皇成,2:03.5,7,**,7-7-7,37.7,36.4,10,508(+2),,,,村山明,谷水雄三,,201505010111,西
1,2,4,プリサイスエース,牡4,56,田辺裕信,1:23.9,,**,10-9,35.7,6.5,3,504(-6),,,,奥村武,井山登,"1,050.0",201505010112,東
2,1,1,ノウレッジ,牡5,57,蛯名正義,1:24.1,1.1/4,**,1-1,36.5,4.0,1,510(+12),,,,二ノ宮敬,Ｈ．Ｈ．シェイク・モハメド,420.0,201505010112,東
3,8,16,ベリートゥベリー,牡5,57,田中勝春,1:24.2,3/4,**,11-13,35.7,9.2,5,472(+2),,,,高木登,北所直人,260.0,201505010112,東
4,1,2,ヤマチョウフェア,牡7,57,津村明秀,1:24.3,1/2,**,2-2,36.6,16.8,8,490(-2),,,,相沢郁,長谷川彰,160.0,201505010112,東
5,2,3,パッシングブリーズ,牡4,56,杉原誠人,1:24.3,クビ,**,15-15,35.6,15.6,7,488(+6),,,,浅見秀一,三田昌宏,105.0,201505010112,西
6,5,9,ワイルドコットン,牡4,56,ベリー,1:24.4,1/2,**,5-7,36.3,4.5,2,502(+2),,,,萩原清,池谷誠一,,201505010112,東
7,7,14,ナモンレジェンド,牡4,53,井上敏樹,1:24.4,ハナ,**,11-9,36.1,51.2,12,508(-10),,,,本間忍,南原商事,,201505010112,東
8,3,5,ラブリースター,牝6,55,吉田隼人,1:24.5,クビ,**,11-9,36.2,99.5,13,474(-4),,,,堀井雅広,長谷川光司,,201505010112,東
9,3,6,ダンディーレイ,牡5,57,江田照男,1:24.6,3/4,**,5-3,36.7,6.6,4,490(+4),,,,田村康仁,高木競走馬育成牧場,,201505010112,東
10,4,7,モリトビャクミ,牡4,56,吉田豊,1:24.7,1/2,**,7-3,36.7,13.3,6,492(+2),,,,水野貴広,石橋忠之,,201505010112,東
11,7,13,アルデグロリア,牝5,55,石橋脩,1:25.1,2.1/2,**,14-13,36.6,23.9,10,492(+4),,,,浅野洋一,井上修一,,201505010112,東
12,6,11,マンリー,牡5,57,横山典弘,1:25.5,2.1/2,**,7-9,37.2,20.7,9,520(-2),,,,和田正道,古賀和夫,,201505010112,東
13,5,10,リアライズクレア,牝6,52,石川裕紀,1:25.5,クビ,**,7-7,37.4,191.8,15,540(-2),,,,加藤征弘,工藤圭司,,201505010112,東
14,6,12,チョウテッパン,牡4,56,黛弘人,1:25.7,3/4,**,3-3,37.8,114.1,14,500(+4),,,,日吉正和,丸山隆雄,,201505010112,西
