着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),日付
3,2,3,"
ブルーイングリーン
",牡5,57,"
ベリー
",1:39.4,5,"

**

",8-8,36.9,17.2,8,494(0),"

","

","



","
[東]
手塚貴久
","
青芝商事
",190,201405010112
4,6,11,"
ヴァルディヴィア
",牡6,57,"
内田博幸
",1:39.8,2.1/2,"

**

",3-3,37.7,14.1,6,512(+4),"

","

","



","
[東]
二ノ宮敬
","
社台レースホース
",110,201405010112
5,7,13,"
セツナ
",牡4,57,"
石橋脩
",1:39.9,クビ,"

**

",13-14,36.8,15.9,7,500(+2),"

","

","
","
[東]
田村康仁
","
林正道
",75,201405010112
6,4,7,"
グランデアリュール
",牡4,57,"
木幡初広
",1:40.0,3/4,"

**

",8-8,37.5,6.8,4,494(-4),"

","

","



","
[東]
金成貴史
","
吉野弘司
",,201405010112
7,1,2,"
コスモソーク
",牡4,57,"
柴田大知
",1:40.1,1/2,"

**

",8-8,37.6,26.2,9,558(-16),"

","

","
","
[東]
畠山吉宏
","
ビッグレッドファーム
",,201405010112
8,3,5,"
ポッドスター
",牡4,57,"
江田照男
",1:40.3,3/4,"

**

",3-7,38,46.2,10,498(+12),"

","

","
","
[東]
畠山吉宏
","
小川眞査雄
",,201405010112
9,5,10,"
ハイエストクライム
",牡7,57,"
三浦皇成
",1:40.3,クビ,"

**

",13-12,37.5,64.8,11,514(-2),"

","

","



","
[東]
萩原清
","
前田葉子
",,201405010112
10,2,4,"
ポークチョップ
",牝4,55,"
吉田隼人
",1:40.4,1/2,"

**

",2-2,38.4,92.1,12,462(0),"

","

","
","
[東]
菅原泰夫
","
鈴木照雄
",,201405010112
11,4,8,"
アンルーリー
",牝4,55,"
大野拓弥
",1:40.7,1.3/4,"

**

",3-3,38.5,6,2,480(0),"

","

","
","
[東]
高木登
","
ディアレスト
",,201405010112
12,6,12,"
ディーエスタイド
",牡4,57,"
勝浦正樹
",1:40.8,1/2,"

**

",3-3,38.7,8.4,5,494(0),"

","

","
","
[東]
藤原辰雄
","
秋谷壽之
",,201405010112
13,8,15,"
ヒアルロンサン
",牝4,55,"
大庭和弥
",1:41.0,1,"

**

",16-15,37.8,252,14,456(-4),"

","

","



","
[東]
伊藤伸一
","
ミルファーム
",,201405010112
14,8,16,"
エッフェル
",牡4,57,"
丸田恭介
",1:41.0,クビ,"

**

",12-12,38.2,305.6,15,510(+6),"

","

","



","
[東]
高橋祥泰
","
小田切光
",,201405010112
15,5,9,"
サワキック
",牝5,55,"
西田雄一
",1:41.1,クビ,"

**

",15-15,37.8,387.4,16,516(-4),"

","

","
","
[東]
柴田政人
","
井上久光
",,201405010112
16,3,6,"
エムオーキャプテン
",牡5,56,"
横山和生
",1:41.1,ハナ,"

**

",8-8,38.6,159.1,13,474(-10),"

","

","



","
[東]
尾形和幸
","
大浅貢
",,201405010112
1,2,4,"
ケイアイエレガント
",牝5,53,"
吉田豊
",1:34.0,,"

**

",1-2,33.4,25.4,10,528(+14),"

","

","
","
[東]
尾形充弘
","
亀田和弘
",1825.7,201405010210
2,4,8,"
ホーカーテンペスト
",牡5,57,"
ブノワ
",1:34.5,3,"

**

",11-10,33.4,18.2,8,498(0),"

","

","



","
[東]
藤沢和雄
","
キャロットファーム
",730.2,201405010210
3,7,13,"
アドマイヤドバイ
",牡4,56,"
池添謙一
",1:34.5,クビ,"

**

",4-2,33.9,2.9,1,462(+10),"

","

","
","
[西]
橋田満
","
近藤利一
",455.1,201405010210
4,1,1,"
オールアズワン
",牡6,55,"
国分恭介
",1:34.6,クビ,"

**

",4-5,33.7,41.1,13,484(-14),"

","

","
","
[西]
領家政蔵
","
宮川純造
",270,201405010210
5,4,7,"
タガノエンブレム
",牡4,55,"
北村友一
",1:34.6,ハナ,"

**

",15-15,32.9,8.3,4,454(-12),"

","

","



","
[西]
松田博資
","
八木良司
",179,201405010210
6,6,11,"
ターフェル
",牡6,54,"
田辺裕信
",1:34.7,3/4,"

**

",11-10,33.5,40.5,12,504(-18),"

","

","



","
[西]
今野貞一
","
伊達敏明
",,201405010210
7,5,9,"
マイネルアダマス
",牡5,55,"
柴田大知
",1:34.7,ハナ,"

**

",2-1,34.1,29.3,11,432(0),"

","

","
","
[東]
菅原泰夫
","
サラブレッドクラブ・ラフィアン
",,201405010210
8,8,15,"
ダノンミル
",セ6,55,"
北村宏司
",1:34.7,ハナ,"

**

",14-13,33.3,92.2,15,450(+2),"

","

","



","
[西]
藤原英昭
","
ダノックス
",,201405010210
9,6,12,"
ハーコット
",牡5,55,"
三浦皇成
",1:34.7,ハナ,"

**

",3-2,34.1,14.3,7,474(+6),"

","

","
","
[東]
鹿戸雄一
","
社台レースホース
",,201405010210
10,3,5,"
フルアクセル
",牡6,56,"
石橋脩
",1:34.8,クビ,"

**

",7-5,33.8,10.4,5,484(-2),"

","

","
","
[東]
勢司和浩
","
山田和正
",,201405010210
11,3,6,"
ダイワズーム
",牝5,54,"
横山典弘
",1:34.8,クビ,"

**

",11-13,33.5,13.4,6,468(0),"

","

","



","
[東]
鹿戸雄一
","
大城敬三
",,201405010210
12,1,2,"
ドリームトレイン
",牡5,55,"
蛯名正義
",1:34.8,ハナ,"

**

",7-10,33.7,19.1,9,498(+6),"

","

","



","
[西]
谷潔
","
前田幸治
",,201405010210
13,2,3,"
ショウナンマハ
",牝6,53,"
勝浦正樹
",1:35.0,1.1/4,"

**

",4-5,34.1,91,14,458(-4),"

","

","
","
[西]
須貝尚介
","
湘南
",,201405010210
14,5,10,"
デウスウルト
",セ6,55,"
藤岡康太
",1:35.0,クビ,"

**

",10-5,34.1,6.9,3,456(-8),"

","

","
","
[西]
平田修
","
吉田勝己
",,201405010210
15,7,14,"
サトノネプチューン
",牡4,55,"
戸崎圭太
",1:35.1,1/2,"

**

",7-5,34.2,6.4,2,498(-2),"

","

","
","
[東]
堀宣行
","
里見治
",,201405010210
除,8,16,"
ピースピース
",牡8,53,"
丸田恭介
",,,"

**

",,,---,,476(0),"

","

","
","
[東]
和田雄二
","
高昭牧場
",,201405010210
1,3,6,"
ゴールスキー
",牡7,56,"
ベリー
",1:23.4,,"

**

",10-11,35.3,7.5,4,484(-4),"

","

","



","
[西]
池江泰寿
","
社台レースホース
",3757.4,201405010211
2,5,9,"
ノーザンリバー
",牡6,57,"
蛯名正義
",1:23.5,1/2,"

**

",5-7,35.8,19.7,8,480(+2),"

","

","
","
[西]
浅見秀一
","
林正道
",1516.4,201405010211
3,7,14,"
シルクフォーチュン
",牡8,56,"
横山典弘
",1:23.5,クビ,"

**

",16-16,34.9,14,5,472(0),"

","

","



","
[西]
藤沢則雄
","
シルク
",938.2,201405010211
4,7,13,"
ブライトライン
",牡5,57,"
戸崎圭太
",1:23.6,クビ,"

**

",2-3,36.1,2.8,1,524(-4),"

","

","



","
[西]
鮫島一歩
","
ノースヒルズ
",560,201405010211
5,1,2,"
アドマイヤロイヤル
",牡7,57,"
四位洋文
",1:23.6,クビ,"

**

",10-9,35.6,6.1,3,524(+4),"

","

","
","
[西]
橋田満
","
近藤利一
",370,201405010211
6,4,7,"
ジョーメテオ
",牡8,56,"
坂井英光
",1:23.7,クビ,"

**

",15-15,35.3,406.9,14,512(0),"

","

","



","
[地]
小久保智
","
上田けい子
",,201405010211
7,5,10,"
テスタマッタ
",牡8,58,"
田辺裕信
",1:23.7,クビ,"

**

",14-12,35.4,50.4,11,516(0),"

","

","



","
[西]
村山明
","
吉田和美
",,201405010211
8,4,8,"
ドリームバレンチノ
",牡7,57,"
内田博幸
",1:23.8,クビ,"

**

",2-2,36.4,4,2,490(-3),"

","

","
","
[西]
加用正
","
セゾンレースホース
",,201405010211
9,2,3,"
ダノンカモン
",牡8,56,"
三浦皇成
",1:23.8,クビ,"

**

",5-4,36.2,50.2,10,528(+4),"

","

","
","
[西]
池江泰寿
","
ダノックス
",,201405010211
10,8,15,"
アドマイヤサガス
",牡6,56,"
池添謙一
",1:23.9,クビ,"

**

",5-4,36.3,63.5,12,522(+2),"

","

","
","
[西]
橋田満
","
近藤利一
",,201405010211
11,3,5,"
スノードラゴン
",牡6,56,"
大野拓弥
",1:24.1,1.1/2,"

**

",13-12,35.8,15.7,7,510(-2),"

","

","



","
[東]
高木登
","
岡田牧雄
",,201405010211
12,8,16,"
セイクリムズン
",牡8,57,"
北村宏司
",1:24.1,クビ,"

**

",8-8,36.3,43.7,9,514(0),"

","

","



","
[西]
服部利之
","
金田成基
",,201405010211
13,6,11,"
セレスハント
",牡9,57,"
丸山元気
",1:24.6,3,"

**

",12-12,36.4,488.9,15,482(+4),"

","

","



","
[西]
松永幹夫
","
岡浩二
",,201405010211
14,1,1,"
エーシントップ
",牡4,58,"
酒井学
",1:24.8,1.1/2,"

**

",4-4,37.2,14.3,6,530(-4),"

","

","
","
[西]
西園正都
","
栄進堂
",,201405010211
15,6,12,"
ティアップワイルド
",牡8,57,"
石橋脩
",1:25.0,1.1/4,"

**

",8-9,37,516.3,16,534(0),"

","

","
","
[西]
西浦勝一
","
田中昇
",,201405010211
16,2,4,"
スリーボストン
",牡7,56,"
北村友一
",1:25.5,3,"

**

",1-1,38.2,86.4,13,520(+2),"

","

","
","
[西]
藤岡範士
","
永井商事
",,201405010211
1,4,7,"
キタサンイナズマ
",牡4,57,"
横山典弘
",1:37.1,,"

**

",1-1,36.2,5.1,2,498(+6),"

","

","
","
[西]
昆貢
","
大野商事
",1020,201405010212
2,7,14,"
カーティスバローズ
",牡4,57,"
戸崎圭太
",1:37.5,2.1/2,"

**

",2-2,36.5,3.6,1,490(-6),"

","

","
","
[西]
中竹和也
","
猪熊広次
",410,201405010212
3,2,4,"
メイショウコンカー
",牡5,57,"
池添謙一
",1:37.6,3/4,"

**

",7-6,36.3,5.5,3,458(+6),"

","

","



","
[西]
藤原英昭
","
松本好雄
",260,201405010212
4,6,12,"
ヴァンガード
",牡5,57,"
ベリー
",1:37.7,3/4,"

**

",12-11,35.9,14.5,6,514(+8),"

","

","



","
[東]
高柳瑞樹
","
Ｈ．Ｈ．シェイク・モハメド
",150,201405010212
5,2,3,"
ヤマチョウフェア
",牡6,57,"
田辺裕信
",1:38.1,2.1/2,"

**

",5-6,36.8,26.3,10,486(+10),"

","

","
","
[東]
相沢郁
","
長谷川彰
",102,201405010212
6,8,16,"
ダノンレジェンド
",牡4,57,"
田中勝春
",1:38.1,アタマ,"

**

",12-11,36.3,7.3,4,452(+2),"

","

","



","
[西]
村山明
","
ダノックス
",,201405010212
7,3,5,"
リアライズナマステ
",牡5,57,"
坂井英光
",1:38.1,ハナ,"

**

",3-3,36.9,92.7,12,468(+2),"

","

","
","
[西]
森秀行
","
工藤圭司
",,201405010212
8,1,2,"
シュガーヒル
",牡5,57,"
北村宏司
",1:38.6,3,"

**

",9-9,37,22.1,9,490(+8),"

","

","



","
[東]
国枝栄
","
金子真人ホールディングス
",,201405010212
9,8,15,"
クロスボウ
",牡4,57,"
吉田豊
",1:38.6,クビ,"

**

",10-9,37,16.6,7,512(+2),"

","

","



","
[東]
大久保洋
","
サンデーレーシング
",,201405010212
10,5,10,"
マイネルバウンス
",牡5,57,"
丹内祐次
",1:38.7,1/2,"

**

",7-8,37.3,26.6,11,494(+2),"

","

","
","
[東]
清水美波
","
サラブレッドクラブ・ラフィアン
",,201405010212
11,4,8,"
スズカヴィグラス
",牡5,57,"
蛯名正義
",1:38.8,クビ,"

**

",5-3,37.6,21.1,8,496(+4),"

","

","



","
[東]
伊藤圭三
","
永井啓弍
",,201405010212
12,1,1,"
ヤマタケディガー
",牡8,57,"
丸山元気
",1:38.8,クビ,"

**

",16-14,36.6,245.1,16,466(+8),"

","

","



","
[東]
根本康広
","
山中佳代
",,201405010212
13,6,11,"
ディアグリスター
",牡4,57,"
勝浦正樹
",1:39.0,1.1/4,"

**

",15-14,36.8,234.6,15,470(-14),"

","

","



","
[東]
高橋裕
","
ディアレスト
",,201405010212
14,5,9,"
モリトリュウコ
",牡4,56,"
横山和生
",1:39.1,クビ,"

**

",12-13,37.2,113.1,13,474(+8),"

","

","



","
[東]
水野貴広
","
石橋忠之
",,201405010212
15,7,13,"
フロリダブルー
",牡4,57,"
内田博幸
",1:39.1,クビ,"

**

",10-14,36.9,7.4,5,458(-4),"

","

","
","
[東]
松山康久
","
クイーンズ・ランチ
",,201405010212
16,3,6,"
コスモシャンハイ
",牡5,57,"
松岡正海
",1:39.2,クビ,"

**

",4-3,38,185.8,14,508(+8),"

","

","
","
[東]
尾関知人
","
ビッグレッドファーム
",,201405010212
1,2,4,"
ラングレー
",牡3,56,"
戸崎圭太
",2:30.4,,"

**

",5-5-6-7,33.8,3.1,1,474(+4),"

","

","
","
[西]
矢作芳人
","
サンデーレーシング
",1015,201405010310
2,5,9,"
ゴールドアクター
",牡3,56,"
石橋脩
",2:30.6,1,"

**

",5-5-6-6,34.1,44.8,14,462(-18),"

","

","
","
[東]
中川公成
","
居城要
",400,201405010310
3,2,3,"
ダイワリベラル
",牡3,56,"
後藤浩輝
",2:30.6,クビ,"

**

",2-2-2-2,34.4,12.7,4,518(-4),"

","

","
","
[東]
菊沢隆徳
","
大城敬三
",255,201405010310
4,8,16,"
ラハイナルナ
",牡3,56,"
北村宏司
",2:30.7,クビ,"

**

",12-11-3-3,34.4,13.3,5,508(+2),"

","

","



","
[東]
国枝栄
","
金子真人ホールディングス
",150,201405010310
5,4,7,"
デルカイザー
",牡3,56,"
ブノワ
",2:30.8,3/4,"

**

",10-11-12-14,33.8,35.3,11,482(+18),"

","

","



","
[東]
藤沢和雄
","
山本英俊
",98,201405010310
6,7,13,"
ダノンアンビシャス
",牡3,56,"
横山典弘
",2:30.8,ハナ,"

**

",10-8-8-7,34.1,4.5,2,462(-2),"

","

","
","
[西]
藤原英昭
","
ダノックス
",,201405010310
7,1,1,"
マドリードカフェ
",牡3,56,"
内田博幸
",2:30.8,クビ,"

**

",4-3-3-4,34.4,5,3,498(+2),"

","

","
","
[東]
田村康仁
","
ＨｉｍＲｏｃｋＲａｃｉｎｇ
",,201405010310
8,6,11,"
トライアゲイン
",牡3,56,"
三浦皇成
",2:31.1,1.3/4,"

**

",12-11-12-11,34.2,79,16,496(+12),"

","

","
","
[東]
和田正道
","
ノースヒルズ
",,201405010310
9,3,5,"
ロワジャルダン
",牡3,56,"
蛯名正義
",2:31.1,アタマ,"

**

",5-5-8-7,34.4,22.7,8,490(-6),"

","

","
","
[東]
戸田博文
","
社台レースホース
",,201405010310
10,1,2,"
タルトオポム
",牡3,56,"
横山和生
",2:31.1,ハナ,"

**

",8-8-8-11,34.2,16.5,6,442(-4),"

","

","



","
[東]
尾形和幸
","
窪田康志
",,201405010310
11,8,15,"
ジョウノムサシ
",牡3,56,"
ベリー
",2:31.1,ハナ,"

**

",15-14-12-11,34.2,36.4,12,482(+4),"

","

","



","
[東]
加藤征弘
","
小川義勝
",,201405010310
12,5,10,"
マイネリベルタス
",牝3,54,"
柴田大知
",2:31.6,3,"

**

",2-3-5-4,35.2,38.7,13,414(-4),"

","

","
","
[西]
宮本博
","
サラブレッドクラブ・ラフィアン
",,201405010310
13,3,6,"
レッドアルゴ
",牡3,56,"
リスポリ
",2:31.6,クビ,"

**

",1-1-1-1,35.5,24,9,522(-12),"

","

","
","
[西]
友道康夫
","
東京ホースレーシング
",,201405010310
14,7,14,"
ストロベリーキング
",牡3,56,"
高倉稜
",2:31.6,ハナ,"

**

",16-16-16-15,34.4,21.9,7,472(+2),"

","

","



","
[東]
高橋文雅
","
田頭勇貴
",,201405010310
15,4,8,"
ナスノアオバ
",牡3,56,"
大野拓弥
",2:32.1,3,"

**

",8-8-8-10,35.3,34.7,10,528(+4),"

","

","
","
[東]
小笠倫弘
","
那須野牧場
",,201405010310
16,6,12,"
クインズチャイルド
",牡3,56,"
田中勝春
",2:32.1,クビ,"

**

",14-14-15-15,34.9,47.9,15,474(-4),"

","

","



","
[東]
伊藤圭三
","
クイーンズ・ランチ
",,201405010310
1,5,10,"
レーザーバレット
",牡6,57.5,"
横山典弘
",1:35.6,,"

**

",5-5,36.1,9.8,5,476(0),"

","

","
","
[東]
萩原清
","
前田葉子
",1825.7,201405010311
2,3,6,"
パワースポット
",牝6,53,"
石橋脩
",1:35.8,1.1/4,"

**

",15-14,35.7,13,6,472(+10),"

","

","



","
[東]
菊沢隆徳
","
グランド牧場
",730.2,201405010311
3,5,9,"
ブロードソード
",牡4,55,"
三浦皇成
",1:36.0,1,"

**

",3-3,36.7,6.7,3,494(-4),"

","

","
","
[西]
松田国英
","
キャロットファーム
",455.1,201405010311
4,2,3,"
コスモイーチタイム
",牡6,54,"
柴田大知
",1:36.0,アタマ,"

**

",10-9,36.2,59.6,11,462(+2),"

","

","



","
[東]
黒岩陽一
","
ビッグレッドファーム
",270,201405010311
5,2,4,"
アンアヴェンジド
",牝5,55,"
ブノワ
",1:36.4,2.1/2,"

**

",13-14,36.3,2.6,1,530(-18),"

","

","



","
[東]
藤沢和雄
","
大樹ファーム
",179,201405010311
6,3,5,"
オメガブレイン
",牡6,54,"
田辺裕信
",1:36.4,ハナ,"

**

",6-5,36.8,37.1,8,470(+2),"

","

","
","
[東]
古賀慎明
","
原礼子
",,201405010311
7,6,11,"
タツパーシヴ
",牡7,52,"
江田照男
",1:36.4,アタマ,"

**

",2-2,37.3,214.1,14,496(-14),"

","

","
","
[西]
鮫島一歩
","
日下部勝徳
",,201405010311
8,6,12,"
ガイヤースヴェルト
",牡4,56,"
リスポリ
",1:36.6,1,"

**

",6-5,37,4.3,2,494(-8),"

","

","
","
[東]
斎藤誠
","
サンデーレーシング
",,201405010311
9,8,15,"
ミヤジマッキー
",牡4,55,"
蛯名正義
",1:36.8,1.1/2,"

**

",10-12,36.9,7.7,4,504(0),"

","

","
","
[西]
牧田和弥
","
曽我司
",,201405010311
10,4,7,"
セイカフォルテ
",牡6,56,"
田中勝春
",1:36.9,1/2,"

**

",13-12,37,44.3,10,454(-4),"

","

","



","
[東]
相沢郁
","
久米大
",,201405010311
11,4,8,"
エスカーダ
",牡7,52,"
吉田豊
",1:37.6,4,"

**

",9-9,37.8,282.3,15,474(-4),"

","

","



","
[東]
高市圭二
","
山本武司
",,201405010311
12,1,2,"
ドラゴンヴォイス
",牡6,55,"
横山和生
",1:37.6,クビ,"

**

",10-9,37.8,138.9,12,454(+2),"

","

","



","
[東]
戸田博文
","
窪田芳郎
",,201405010311
13,8,16,"
ヒメサクラ
",牝4,53,"
後藤浩輝
",1:37.9,1.3/4,"

**

",3-3,38.6,14.9,7,444(0),"

","

","
","
[東]
柴田政人
","
岡田勇
",,201405010311
14,1,1,"
セイカフォルトゥナ
",牝5,53,"
木幡初広
",1:38.1,3/4,"

**

",1-1,39,40.6,9,486(0),"

","

","
","
[東]
相沢郁
","
久米大
",,201405010311
15,7,14,"
ワールドブルー
",牡8,51,"
嶋田純次
",1:38.6,3,"

**

",6-8,38.9,147,13,500(-6),"

","

","
","
[西]
森秀行
","
ブルーマネジメント
",,201405010311
取,7,13,"
エンジョイタイム
",牡6,54,"
大野拓弥
",,,"

**

",,,---,,計不,"

","

","
","
[西]
宮本博
","
前田晋二
",,201405010311
1,6,11,"
ジーニマジック
",牝4,55,"
田中勝春
",1:21.5,,"

**

",9-8,34.1,8.4,5,472(0),"

","

","
","
[東]
小笠倫弘
","
田所英子
",1020,201405010312
2,1,2,"
カディーシャ
",牝5,55,"
三浦皇成
",1:21.5,クビ,"

**

",9-10,33.9,26.1,10,422(-2),"

","

","
","
[東]
武市康男
","
ヒダカ・ブリーダーズ・ユニオン
",410,201405010312
3,3,6,"
ボンジュールココロ
",牝4,55,"
後藤浩輝
",1:21.6,クビ,"

**

",7-6,34.5,32,11,472(+12),"

","

","
","
[東]
天間昭一
","
田中善次郎
",260,201405010312
4,7,13,"
ゴールドカルラ
",牝6,55,"
田辺裕信
",1:21.6,アタマ,"

**

",5-5,34.8,18.6,7,520(+10),"

","

","
","
[東]
高木登
","
磯波勇
",150,201405010312
5,5,9,"
アンレール
",牝4,55,"
北村宏司
",1:21.6,クビ,"

**

",11-10,34,5.2,3,458(+2),"

","

","



","
[東]
藤沢和雄
","
キャロットファーム
",102,201405010312
6,7,14,"
エパティック
",牝6,55,"
戸崎圭太
",1:21.7,1/2,"

**

",14-12,33.9,7.8,4,466(0),"

","

","



","
[東]
堀宣行
","
村木篤
",,201405010312
7,2,3,"
エターナルムーン
",牝4,55,"
木幡初広
",1:21.9,1.1/4,"

**

",6-6,34.8,5,2,474(-4),"

","

","
","
[東]
宗像義忠
","
鈴木芳夫
",,201405010312
8,1,1,"
タガノルミナーレ
",牝5,55,"
内田博幸
",1:22.0,クビ,"

**

",12-12,34.2,22.1,8,464(-6),"

","

","



","
[西]
池添兼雄
","
八木良司
",,201405010312
9,8,16,"
ツクバアラモード
",牝4,55,"
吉田豊
",1:22.0,ハナ,"

**

",16-16,33.8,79.6,13,454(-4),"

","

","



","
[東]
田中清隆
","
細谷武史
",,201405010312
10,3,5,"
サクラディソール
",牝4,55,"
横山典弘
",1:22.0,クビ,"

**

",3-4,35.3,4,1,430(+4),"

","

","
","
[東]
尾関知人
","
さくらコマース
",,201405010312
11,8,15,"
カフヴァール
",牝5,55,"
ベリー
",1:22.1,クビ,"

**

",14-15,34.1,8.9,6,466(+2),"

","

","
","
[東]
矢野英一
","
キャロットファーム
",,201405010312
12,5,10,"
ヨシカワクン
",牝4,54,"
嶋田純次
",1:22.4,2,"

**

",2-2,36.1,59.3,12,454(-10),"

","

","
","
[東]
矢野英一
","
井上一郎
",,201405010312
